code,name,market,type,industry,price,chg,chg_pct,score,A,B,C,D,E,F,S2h,S2m,etf_trust_5d,etf_rank,etf_chip_cnt,etf_vol_ratio,foreign_days,trust_days,broker_days,broker_conc,margin_ratio,short_ratio,big_chg,rsi,trust_d1,trust_d3,trust_d5,broker_names,broker_silent,broker_known,turnover_pct,holding_rising,trust_holding_pct,trust_pullback,volume_ratio,ma_trend,revenue_months,eps_growth,gpm_improving,tags,signal,signal_desc,scan_date
00664R,國泰臺灣加權反1,上市,STOCK,,0,0,0,13,0,0,0,0,0,1,15,-3,0.0,賣超,1,1.0649,0,0,0,0,55.6,0.2,0.32,27.8,0,0,0,{},0,0,0.0,0,0.0,0,0.85,0,0,0,0,,NONE,,2026-05-08
00665L,富邦恒生國企正2,上市,STOCK,,0,0,0,31,3,0,0,13,0,6,15,-6,0.0,賣超,1,0.6849,3,0,0,0,63.8,1.5,0.16,55.2,0,0,0,{},0,0,1.1,0,0.0,0,0.44,1,0,0,0,★大戶接手,NONE,,2026-05-08
00666R,富邦恒生國企反1,上市,STOCK,,0,0,0,22,0,0,0,2,0,1,15,4,0.0,賣超,1,0.6206,0,0,0,0,16.8,0.3,0.0,49.4,0,0,0,{},0,0,0.0,0,0.0,0,0.23,0,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00668,國泰美國道瓊,上市,STOCK,,0,0,0,38,0,0,0,18,0,1,15,4,0.0,賣超,1,0.9796,0,0,0,0,4.3,0.0,0.0,57.7,0,0,0,{},0,0,-0.5,0,0.0,0,2.48,2,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00668K,國泰美國道瓊+U,上市,STOCK,,0,0,0,36,0,0,0,18,0,1,15,2,0.0,賣超,1,1.0169,0,0,0,0,0.0,0.0,0.0,60.3,0,0,0,{},0,0,0.0,0,0.0,0,1.0,2,0,0,0,★大戶接手,NONE,,2026-05-08
00669R,國泰美國道瓊反1,上市,STOCK,,0,0,0,20,0,0,0,2,0,1,15,2,0.0,賣超,1,0.5037,0,0,0,0,23.4,0.3,0.41,41.9,0,0,0,{},0,0,0.0,0,0.0,0,0.3,0,0,0,0,★大戶接手,NONE,,2026-05-08
00670L,富邦NASDAQ正2,上市,STOCK,,0,0,0,44,0,0,0,14,0,6,15,9,0.0,賣超,2,0.703,0,0,0,0,8.4,1.3,0.14,79.7,0,0,0,{},0,0,-1.1,1,0.0,0,0.85,2,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00673R,期元大S&P原油反1,上市,STOCK,,0,0,0,6,1,0,0,3,0,0,5,-3,0.0,賣超,0,1.4029,1,0,0,0,55.2,0.2,-0.26,38.5,0,0,0,{},0,0,0.1,0,0.0,0,0.42,0,0,0,0,,NONE,,2026-05-08
00674R,期元大S&P黃金反1,上市,STOCK,,0,0,0,15,0,0,0,0,0,1,5,9,0.0,賣超,1,0.0,0,0,0,0,0.0,0.0,-5.23,86.8,0,0,0,{},0,0,0.0,1,0.0,0,0.27,0,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00675L,富邦臺灣加權正2,上市,STOCK,,0,0,0,61,0,0,9,14,0,9,25,4,0.0,賣超,2,0.6363,0,0,10,15,5.9,2.1,1.69,75.2,0,0,0,{},0,1,-4.0,1,0.0,0,1.16,2,0,0,0,★籌碼集中 ★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
